<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20020730,000000,0.22822,0.23843,0.22396,0.23714,411949627,0
AAPL.US,D,20020731,000000,0.23689,0.23714,0.22916,0.23469,360706232,0
AAPL.US,D,20020801,000000,0.23233,0.23714,0.22672,0.22769,265806462,0
AAPL.US,D,20020802,000000,0.22672,0.23071,0.21899,0.22214,207879714,0
AAPL.US,D,20020805,000000,0.22303,0.22612,0.21506,0.21539,236862624,0
AAPL.US,D,20020806,000000,0.21869,0.2344,0.21659,0.22672,315840613,0
AAPL.US,D,20020807,000000,0.232,0.23629,0.22059,0.23105,387147090,0
AAPL.US,D,20020808,000000,0.22707,0.23659,0.22707,0.23529,263940630,0
AAPL.US,D,20020809,000000,0.2344,0.2344,0.22707,0.23071,238826019,0
AAPL.US,D,20020812,000000,0.22916,0.23105,0.22577,0.23071,208698828,0
AAPL.US,D,20020813,000000,0.22916,0.23413,0.22396,0.22425,313305097,0
AAPL.US,D,20020814,000000,0.22547,0.23594,0.22366,0.23323,463316583,0
AAPL.US,D,20020815,000000,0.2344,0.24242,0.23071,0.23998,373916934,0
AAPL.US,D,20020816,000000,0.23746,0.24765,0.23499,0.2434,284692841,0
AAPL.US,D,20020819,000000,0.24274,0.24982,0.24177,0.24579,251412571,0
AAPL.US,D,20020820,000000,0.24579,0.2473,0.23875,0.24489,216663024,0
AAPL.US,D,20020821,000000,0.24635,0.24982,0.23746,0.24798,235009714,0
AAPL.US,D,20020822,000000,0.2492,0.24982,0.2409,0.24579,299886375,0
AAPL.US,D,20020823,000000,0.24453,0.24489,0.23746,0.2421,189519990,0
AAPL.US,D,20020826,000000,0.24523,0.24523,0.23323,0.23875,220544294,0
AAPL.US,D,20020827,000000,0.24177,0.2421,0.22645,0.22822,304437244,0
AAPL.US,D,20020828,000000,0.22769,0.2326,0.22547,0.22612,287884937,0
AAPL.US,D,20020829,000000,0.22547,0.232,0.22303,0.22612,190592748,0
AAPL.US,D,20020830,000000,0.22672,0.2329,0.22425,0.22707,224666108,0
AAPL.US,D,20020903,000000,0.22303,0.22396,0.21631,0.21631,321509742,0
AAPL.US,D,20020904,000000,0.21839,0.22737,0.21771,0.22274,488366169,0
AAPL.US,D,20020905,000000,0.21869,0.22089,0.21631,0.21807,262581853,0
AAPL.US,D,20020906,000000,0.22303,0.22547,0.21899,0.22121,210818312,0
AAPL.US,D,20020909,000000,0.21964,0.22333,0.21771,0.22089,183714292,0
AAPL.US,D,20020910,000000,0.22184,0.22303,0.21712,0.22059,289620761,0
AAPL.US,D,20020911,000000,0.22059,0.22459,0.21771,0.21964,234990195,0
AAPL.US,D,20020912,000000,0.21839,0.22303,0.21712,0.21745,313259620,0
AAPL.US,D,20020913,000000,0.21745,0.22059,0.21631,0.21771,328492179,0
AAPL.US,D,20020916,000000,0.21745,0.22459,0.21712,0.22303,332776568,0
